url,creator_username,is_shoppable,post_id,description,create_time,formatted_date,duration,is_photo_post,content_type,views,likes,comments,shares
https://www.tiktok.com/@stephanie.m.sardinas/video/7542219578529598775,stephanie.m.sardinas,True,7542219578529598775,So so comfy!! #gaphoodies #outfitinspo #fyp #gap #comfyhoodie ,1756059872,2025-08-24 18:24:32,0,False,video,0,11,0,0
https://www.tiktok.com/@stephanie.m.sardinas/video/7542217429389167886,stephanie.m.sardinas,True,7542217429389167886,Loveee so much! #gaphoodies #outfitinspo #gapjackets #fyp #gap ,1756059378,2025-08-24 18:16:18,0,False,video,0,36,0,0
https://www.tiktok.com/@stephanie.m.sardinas/video/7542206013865217335,stephanie.m.sardinas,True,7542206013865217335,Love so so much!! #gaphoodies #outfitinspo #gapjackets #review #fyp ,1756056709,2025-08-24 17:31:49,0,False,video,0,15,0,0
https://www.tiktok.com/@stephanie.m.sardinas/video/7542180789383925047,stephanie.m.sardinas,True,7542180789383925047,Every girl needs a pair!! I love them!! #fallboots #brownboots #viralboots #outfitinspo #outfitideas ,1756050852,2025-08-24 15:54:12,0,False,video,0,27,0,0
https://www.tiktok.com/@stephanie.m.sardinas/video/7541564501083131149,stephanie.m.sardinas,True,7541564501083131149,Loveeee! #transitionalfalloutfit #redcardigan #outfitinspo #fyp #fashion ,1755907353,2025-08-23 00:02:33,0,False,video,0,41,0,0
https://www.tiktok.com/@stephanie.m.sardinas/video/7541554550302412046,stephanie.m.sardinas,True,7541554550302412046,More then obsessed wth it!! #fashion #outfitinspo #dress #dressinspo #review ,1755905037,2025-08-22 23:23:57,0,False,video,0,38,0,0
https://www.tiktok.com/@realrichgirltea/video/7542321953714081038,realrichgirltea,False,7542321953714081038,Self-care isn’t selfish… it’s NECESSARY! ✨🤍 What’s ONE thing you’re doing this week to take care of YOU!?  Comment “self care” if you’re putting yourself FIRST & ready to hold each other accountable! #creatorsearchinsights #pilates #pilatesworkout #selfcare #pilatestiktok ,1756083706,2025-08-25 01:01:46,0,False,video,0,34,0,0
https://www.tiktok.com/@andrea_matta/video/7541911218353753375,andrea_matta,True,7541911218353753375,,1755988053,2025-08-23 22:27:33,0,False,video,0,2,0,0
https://www.tiktok.com/@bailey.frey/video/7542358693573184799,bailey.frey,True,7542358693573184799,#tiktokshopcreatorpicks #tiktokshopnewarrivals #tiktokshopaffiliate #creatorsearchinsights #dealsforyoudays ,1756092250,2025-08-25 03:24:10,0,False,video,0,0,0,0
https://www.tiktok.com/@1squidnsj/video/7538030604923751735,1squidnsj,False,7538030604923751735,#getreadywithme #grwm #grwmmakeup ,1755084597,2025-08-13 11:29:57,0,False,video,0,10400,0,0
https://www.tiktok.com/@1squidnsj/video/7537822834115038478,1squidnsj,False,7537822834115038478,#haircut ,1755036158,2025-08-12 22:02:38,0,False,video,0,3543,0,0
https://www.tiktok.com/@cocobarbieofficial/video/7539946730419227934,cocobarbieofficial,False,7539946730419227934,##fyp #momlife #football #footballmom #sportsmom #footballseason #teammom ,1755530663,2025-08-18 15:24:23,0,False,video,0,42,0,0
https://www.tiktok.com/@leslie_hw/video/7541963326322904333,leslie_hw,False,7541963326322904333,Last 1 I swear ,1756000200,2025-08-24 01:50:00,0,False,video,0,14,0,0
https://www.tiktok.com/@leslie_hw/video/7541452363110894861,leslie_hw,False,7541452363110894861,A little forgotten musical gem. Iykyk ,1755881254,2025-08-22 16:47:34,0,False,video,0,108,0,0
